ANNI,Nord-ovest,Nord-est,Centro,Sud,Isole,Regioni diverse e non  specificate,Italia
1985,39970708.00 ,15946307.00 ,13531696.00 ,7463001.00 ,9053634.00 ,3283159.00 ,89248505.00 
1986,37387007.00 ,14690822.00 ,11714132.00 ,5652426.00 ,5123496.00 ,2381026.00 ,76948908.00 
1987,41302411.00 ,15833399.00 ,13011272.00 ,6066023.00 ,5274510.00 ,2360679.00 ,83848295.00 
1988,47089407.00 ,18414973.00 ,14515697.00 ,6174717.00 ,4534704.00 ,2239741.00 ,92969238.00 
1989,54326465.00 ,21333113.00 ,17126515.00 ,7544372.00 ,5699858.00 ,2379180.00 ,108409502.00 
1990,56060049.00 ,21993495.00 ,18774041.00 ,7350146.00 ,6405503.00 ,1851187.00 ,112434422.00 
1991,57284919.00 ,23022878.00 ,19499709.00 ,8197942.00 ,6277735.00 ,2304753.00 ,116587935.00 
1992,58767087.00 ,24266146.00 ,20220263.00 ,8563277.00 ,6048287.00 ,2010060.00 ,119875121.00 
1993,60322789.00 ,24982665.00 ,18985264.00 ,8360840.00 ,6903197.00 ,775161.00 ,120329916.00 
1994,71089336.00 ,29482292.00 ,22689769.00 ,9275919.00 ,7332567.00 ,803498.00 ,140673381.00 
1995,87509245.00 ,37572751.00 ,26835583.00 ,11521199.00 ,8961135.00 ,954584.00 ,173354498.00 
1996,82635852.00 ,35971167.00 ,25646758.00 ,11159173.00 ,9617842.00 ,899471.00 ,165930262.00 
1997,90594366.00 ,39658286.00 ,29747611.00 ,12834969.00 ,10968661.00 ,874249.00 ,184678142.00 
1998,97016562.00 ,43546211.00 ,31493293.00 ,13741896.00 ,9157114.00 ,670191.00 ,195625267.00 
1999,102337790.00 ,45222574.00 ,34120344.00 ,14580394.00 ,10639414.00 ,114651.00 ,207015167.00 
2000,124633861.00 ,54532198.00 ,43237063.00 ,17586254.00 ,18330183.00 ,187046.00 ,258506605.00 
2001,127041022.00 ,56284653.00 ,44749827.00 ,18455527.00 ,17021623.00 ,203916.00 ,263756567.00 
2002,124485170.00 ,58624004.00 ,44068514.00 ,18020488.00 ,15792653.00 ,235041.00 ,261225870.00 
2003,127562680.00 ,57897854.00 ,42986962.00 ,17875699.00 ,16424821.00 ,249958.00 ,262997974.00 
2004,136489376.00 ,61455867.00 ,43606423.00 ,19514629.00 ,18523104.00 ,6045042.00 ,285634442.00 
2005,143448358.00 ,65351706.00 ,48844133.00 ,20603645.00 ,25215767.00 ,5828439.00 ,309292049.00 
2006,155483265.00 ,73294998.00 ,54405835.00 ,23310370.00 ,23062481.00 ,22907735.00 ,352464683.00 
2007,163698672.00 ,81308220.00 ,57926563.00 ,25076296.00 ,24709792.00 ,20620271.00 ,373339814.00 
2008,159470406.00 ,81827754.00 ,56502573.00 ,25831032.00 ,27921628.00 ,30496776.00 ,382050168.00 
2009,127923819.00 ,62784423.00 ,48640666.00 ,20373121.00 ,16869774.00 ,21016859.00 ,297608663.00 
2010,154747041.00 ,77981431.00 ,58396171.00 ,27644206.00 ,24450944.00 ,24170012.00 ,367389805.00 
2011,165837030.00 ,84403680.00 ,65946937.00 ,30808939.00 ,28748157.00 ,25682971.00 ,401427714.00 
2012,154391178.00 ,78802247.00 ,61619379.00 ,25758950.00 ,31625741.00 ,28094986.00 ,380292481.00 
2013,147090430.00 ,79710449.00 ,56124062.00 ,23573837.00 ,29698038.00 ,24805397.00 ,361002213.00 
2014,146867431.00 ,82447560.00 ,56303714.00 ,24869773.00 ,25920097.00 ,20530271.00 ,356938847.00 
2015,153166521.00 ,86448491.00 ,60899857.00 ,28117636.00 ,19819354.00 ,20263474.00 ,368715332.00 
